=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
539727 29.31 100768.26 28.77 1857175.25 2
539727 29.31 100768.26 28.77 1857175.25 2
539727 29.31 100768.26 28.77 1857175.25 2
539727 29.31 100768.26 28.77 1857175.25 2
543726 29.19 100756.99 28.84 1714883.88 3
544476 29.37 100754.84 28.86 236982.19 4
545226 29.48 100752.41 28.86 234700.89 5
546475 29.61 100751.27 28.87 40583.39 7
547225 29.69 100749.24 28.88 42105.26 8
547975 29.74 100747.52 28.88 43214.04 9
548974 29.70 100746.22 28.83 1950011.88 1
550224 29.32 100744.40 28.78 1838420.13 2
550224 29.32 100744.40 28.78 1838420.13 2
550224 29.32 100744.40 28.78 1838420.13 2
554473 29.19 100734.50 28.77 1715961.50 3
555223 29.37 100733.94 28.82 236653.58 4
555973 29.48 100733.63 28.85 231989.13 5
556472 29.53 100733.36 28.84 230734.56 6
557222 29.61 100729.85 28.84 40506.33 7
557972 29.69 100726.52 28.85 41898.53 8
559472 29.77 100726.20 28.81 43835.62 0
559722 29.71 100725.42 28.75 1934813.38 1
560971 29.32 100724.57 28.71 1828571.38 2
560971 29.32 100724.57 28.71 1828571.38 2
560971 29.32 100724.57 28.71 1828571.38 2
565220 29.20 100714.41 28.70 1698880.13 3
565970 29.38 100711.72 28.79 236325.88 4
566720 29.48 100708.36 28.80 231989.13 5
567220 29.53 100706.55 28.82 229802.52 6
567969 29.61 100704.27 28.80 40583.39 7
569469 29.73 100701.48 28.77 42953.02 9
570469 29.71 100700.48 28.75 1918501.13 1
571719 29.32 100700.36 28.66 1832252.25 2
571719 29.32 100700.36 28.66 1832252.25 2
571719 29.32 100700.36 28.66 1832252.25 2
571719 29.32 100700.36 28.66 1832252.25 2
575967 29.19 100692.29 28.70 1674913.13 3
576717 29.38 100688.18 28.74 235024.09 4
577217 29.49 100685.49 28.75 231831.56 5
577967 29.53 100685.61 28.74 227505.00 6
579466 29.70 100683.88 28.77 41857.42 8
580216 29.75 100684.18 28.75 42823.69 9
580966 29.71 100679.91 28.68 1929345.25 1
582465 29.32 100677.38 28.61 1796097.38 2
582465 29.32 100677.38 28.61 1796097.38 2
582465 29.32 100677.38 28.61 1796097.38 2
582465 29.32 100677.38 28.61 1796097.38 2
586714 29.20 100672.21 28.67 1684210.50 3
587464 29.38 100668.20 28.69 233736.59 4
587964 29.49 100665.09 28.72 231203.44 5
589463 29.61 100663.45 28.71 40467.91 7
590213 29.70 100663.31 28.73 41612.48 8
591463 29.77 100657.48 28.68 43567.05 0
591713 29.71 100658.16 28.68 1894542.13 1
593213 29.32 100656.63 28.59 1794916.75 2
